Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Turbo
13328,1399.0,LEXUS,RX 450,2010,Jeep,True,Hybrid,3.5,186005,6.0,Automatic,4x4,4,Left wheel,Silver,12,False
16621,1018.0,CHEVROLET,Equinox,2011,Jeep,False,Petrol,3.0,192000,6.0,Tiptronic,4x4,4,Left wheel,Black,8,False
8467,,HONDA,FIT,2006,Hatchback,False,Petrol,1.3,200000,4.0,Variator,Front,4,Right-hand drive,Black,2,False
3607,862.0,FORD,Escape,2011,Jeep,True,Hybrid,2.5,168966,4.0,Automatic,4x4,4,Left wheel,White,0,False
11726,446.0,HONDA,FIT,2014,Hatchback,True,Petrol,1.3,91901,4.0,Automatic,Front,4,Left wheel,Silver,4,False
39493,891.0,HYUNDAI,Santa FE,2016,Jeep,True,Diesel,2.0,160931,4.0,Automatic,Front,4,Left wheel,White,4,False
1803,761.0,TOYOTA,Prius,2010,Hatchback,True,Hybrid,1.8,258909,4.0,Automatic,Front,4,Left wheel,White,12,False
549,751.0,HYUNDAI,Sonata,2013,Sedan,True,Petrol,2.4,216118,4.0,Automatic,Front,4,Left wheel,Grey,12,False
1098,394.0,TOYOTA,Camry,2014,Sedan,True,Hybrid,2.5,398069,4.0,Automatic,Front,4,Left wheel,Black,12,False
26657,,LEXUS,RX 350,2007,Jeep,True,Petrol,3.5,128500,6.0,Automatic,4x4,4,Left wheel,Silver,12,False
941,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,True,Diesel,3.5,184467,6.0,Automatic,Rear,4,Left wheel,White,12,False
8781,,FORD,Transit,1999,Microbus,False,CNG,4.0,0,8.0,Manual,Rear,2,Left wheel,Blue,0,False
3000,,OPEL,Vectra,1997,Goods wagon,False,CNG,1.6,350000,4.0,Manual,Front,4,Left wheel,White,4,False
1019,1055.0,LEXUS,RX 450,2013,Jeep,True,Hybrid,3.5,138038,6.0,Automatic,Front,4,Left wheel,White,12,False
59464,891.0,HYUNDAI,Santa FE,2016,Jeep,True,Diesel,2.0,76000,4.0,Automatic,Front,4,Left wheel,White,4,False
549,1079.0,TOYOTA,CHR,2018,Jeep,True,Petrol,2.0,74146,4.0,Automatic,Front,4,Left wheel,White,12,False
7683,810.0,HYUNDAI,Elantra,2016,Sedan,True,Petrol,1.8,121840,4.0,Automatic,Front,4,Left wheel,Blue,12,False
28382,810.0,HYUNDAI,Elantra,2016,Sedan,True,Petrol,1.8,54317,4.0,Automatic,Front,4,Left wheel,White,4,False
549,2386.0,HYUNDAI,Sonata,2006,Sedan,True,Petrol,3.3,295059,6.0,Automatic,Rear,4,Left wheel,Blue,12,False
941,1850.0,LEXUS,RX 400,2008,Jeep,True,Hybrid,3.5,364523,6.0,Automatic,4x4,4,Left wheel,Black,12,False
18826,531.0,HYUNDAI,Elantra,2012,Sedan,True,Petrol,1.6,112645,4.0,Automatic,Front,4,Left wheel,Silver,4,False
20698,586.0,TOYOTA,Prius,2012,Sedan,True,Plug-in Hybrid,1.8,187000,4.0,Automatic,Front,4,Left wheel,White,12,False
17562,1249.0,TOYOTA,Camry,2017,Sedan,True,Petrol,2.5,39709,4.0,Automatic,Front,4,Left wheel,Black,12,False
7840,,FORD,Transit,2001,Microbus,False,Diesel,2.0,230000,4.0,Manual,Front,2,Left wheel,White,0,True
4704,,OPEL,Vectra,1995,Sedan,False,Petrol,1.8,0,4.0,Automatic,Front,4,Left wheel,Green,4,False
20385,,MERCEDES-BENZ,E 220,2006,Sedan,True,Diesel,2.2,210000,4.0,Tiptronic,Rear,4,Left wheel,Black,8,True
549,2455.0,LEXUS,GX 470,2008,Jeep,True,Petrol,4.7,0,8.0,Automatic,4x4,4,Left wheel,White,0,False
30,,TOYOTA,Prius,2008,Sedan,False,Hybrid,1.5,169000,4.0,Automatic,Front,4,Left wheel,White,8,False
14454,583.0,HYUNDAI,Elantra,2011,Sedan,True,Petrol,1.6,158787,4.0,Automatic,Front,4,Left wheel,Silver,4,False
12074,1537.0,TOYOTA,Highlander,2009,Jeep,True,Hybrid,3.3,420550,6.0,Automatic,4x4,4,Left wheel,Blue,12,False
15681,1288.0,MERCEDES-BENZ,Vito,2007,Goods wagon,False,Diesel,2.0,180000,6.0,Manual,Rear,4,Left wheel,White,4,True
19444,915.0,PORSCHE,Cayenne,2014,Jeep,True,Diesel,3.0,175056,6.0,Automatic,4x4,4,Left wheel,White,12,False
6899,,BMW,X5,2000,Jeep,True,CNG,4.4,200000,8.0,Automatic,4x4,4,Left wheel,Silver,6,False
125,1750.0,TOYOTA,Highlander,2008,Sedan,True,Hybrid,3.3,287274,6.0,Automatic,4x4,4,Left wheel,White,12,False
24462,,JEEP,Grand Cherokee,2007,Jeep,True,Diesel,3.0,250000,6.0,Tiptronic,4x4,4,Left wheel,Black,10,True
